date,block_id,distance_km,return_seconds,first_seconds,trip_count,class,hydrogen_kg,return_hour
2026-08-07,B34E-196,83.49824675429076,65820,48000,8,LD,6.262368506571807,18
2026-08-07,B34E-197,89.01659779929577,67260,49860,4,LD,6.676244834947182,18
2026-08-07,B34E-198,87.14097496095147,73920,56040,7,LD,6.5355731220713595,20
2026-08-07,B34E-199,89.01659779929577,68580,51240,4,LD,6.676244834947182,19
2026-08-07,B34E-200,89.01659779929577,69600,52740,4,LD,6.676244834947182,19
2026-08-07,B34E-201,79.16184167762985,79500,63420,8,LD,5.937138125822239,22
2026-08-07,B34E-202,70.88065021894087,79320,67200,6,LD,5.316048766420566,22
2026-08-07,B34E-203,133.52489669894365,72000,46500,6,MD,12.017240702904928,20
2026-08-07,B34E-204,89.01659779929577,88860,75720,4,LD,6.676244834947182,0
2026-08-07,B34E-205,44.50829889964788,86220,79740,2,LD,3.338122417473591,23
2026-08-07,B34E-206,57.69447455929437,92400,82200,4,LD,4.327085591947077,1
2026-08-07,B34E-207,44.50829889964788,45540,37920,2,LD,3.338122417473591,12
2026-08-07,B34E-208,77.76293945757502,56040,40380,6,LD,5.832220459318126,15
2026-08-07,B34E-209,70.5015974694098,56640,41100,6,LD,5.287619810205735,15
2026-08-07,B34E-210,44.50829889964788,49920,42420,2,LD,3.338122417473591,13
2026-08-07,B34E-211,44.50829889964788,52080,44460,2,LD,3.338122417473591,14
2026-08-07,B34E-212,81.59683352108146,62460,45300,6,LD,6.11976251408111,17
2026-08-07,B35-104,64.61698854511062,32460,19800,9,LD,4.846274140883296,9
2026-08-07,B35-105,87.07572656088304,40080,22500,9,LD,6.530679492066228,11
2026-08-07,B35-106,79.85373491453836,38640,20400,12,LD,5.989030118590377,10
2026-08-07,B35-107,70.8639955070931,69600,54840,7,LD,5.314799663031982,19
2026-08-07,B35-108,70.8639955070931,67320,52380,7,LD,5.314799663031982,18
2026-08-07,B35-109,53.83984137139175,50040,39240,6,LD,4.037988102854381,13
2026-08-07,B35-110,45.61620017906537,51780,41700,6,LD,3.421215013429903,14
2026-08-07,B35-111,36.86450389553633,60000,50100,5,LD,2.7648377921652245,16
2026-08-07,B35-112,30.469313304129145,60000,53940,3,LD,2.2851984978096858,16
2026-08-07,B36-113,54.517612354282136,32460,19800,7,LD,4.08882092657116,9
2026-08-07,B36-114,40.85914450468833,33420,24000,6,LD,3.0644358378516245,9
2026-08-07,B36-115,46.957167555227244,39420,28860,6,LD,3.5217875666420433,10
2026-08-07,B36-116,76.38587006919573,67320,46740,10,LD,5.72894025518968,18
2026-08-07,B36-117,56.98132917175396,64260,48840,8,LD,4.273599687881547,17
2026-08-07,B36-118,80.10533843765835,74640,54540,12,LD,6.007900382824376,20
2026-08-07,B36-119,53.94268601481369,73560,57420,7,LD,4.045701451111026,20
2026-08-07,B36-120,56.98132917175396,79980,67140,8,LD,4.273599687881547,22
2026-08-07,B36-121,27.552626657785474,81780,75600,4,LD,2.0664469993339103,22
2026-08-07,B36-122,51.18997606565298,86880,76080,8,LD,3.8392482049239733,0
2026-08-07,B36-123,29.96958915108276,88680,82800,4,LD,2.247719186331207,0
2026-08-07,B36-124,27.08283117579559,47220,40500,4,LD,2.031212338184669,13
2026-08-07,B37-125,58.017684743820105,70200,54000,9,LD,4.351326355786508,19
2026-08-07,B37-126,63.07297327824017,68880,53460,8,LD,4.730472995868013,19
2026-08-07,B37-127,52.08291629788299,71280,57600,8,LD,3.906218722341224,19
